INTERVAL;AVERAGE_PRICE;MAX_PRICE;AVERAGE_ACCEPT_PRICE;RSV_PRICE;PRICE_ZONE_ID;POWER_SYS_ID
0;902,5142;1060,514;902,5142;837,363;2;
1;907,9619;1112,94;905,238;835,5242;2;
2;920,7386;1142,436;910,4048;842,725;2;
3;927,5832;1174,382;914,6052;845,8025;2;
4;931,7822;1161,305;918,0406;852,1353;2;
5;954,3475;1116,029;924,0917;857,8433;2;
6;984,5793;1201,825;932,7328;890,9311;2;
7;1001,891;1232,271;941,3776;892,9548;2;
8;1028,166;1443,766;951,0208;909,3419;2;
9;1064,104;1688;962,3292;923,2375;2;
10;1018,79;1363,289;967,4619;924,7527;2;
11;1014,605;1342,966;971,3905;939,5414;2;
12;1028,375;1386,07;975,7739;937,0695;2;
13;1021,748;1368,317;979,0577;942,4047;2;
14;992,4382;1327,787;979,9498;940,7058;2;
15;1000,708;1343,356;981,3005;948,0152;2;
16;997,6414;1291,775;982,2646;947,1891;2;
17;948,5068;1228,752;980,3819;939,8244;2;
18;941,0756;1266,046;978,3068;939,0405;2;
19;916,0782;1166,624;975,1893;894,6608;2;
20;918,1952;1238,93;972,4695;891,8091;2;
21;865,6668;1038,509;967,6094;901,0273;2;
22;794,9799;949,0057;960,0962;870,7143;2;
23;811,5032;951,5005;953,9008;838,3387;2;
